length,generator,test,statistic,p_value,passed,alpha,execution_time,details,error
10000,NumPy PCG64,Block Frequency,79.25,0.4392431840917711,True,0.01,0.00029669999999981655,"{'block_size': 128, 'n_blocks': 78}",
10000,NumPy PCG64,Runs,5029.0,0.5589637003896883,True,0.01,0.0002822000000008984,"{'n': 10000, 'pi': 0.5033}",
10000,NumPy PCG64,Longest Run of Ones,0.9536143973734497,0.9662196580744402,True,0.01,0.004420700000000721,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [8.0, 19.0, 18.0, 13.0, 10.0, 10.0]}",
10000,NumPy PCG64,Binary Matrix Rank,1.3878116343490303,0.49962082553871534,True,0.01,0.012452899999999545,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [3.0, 6.0, 0.0]}",
10000,NumPy PCG64,Non-overlap Template,20.720052083333336,0.013953131998585595,True,0.01,0.0416692999999988,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,NumPy PCG64,Maurer Universal,5.2457250483076265,0.3729395096373309,True,0.01,0.0025946999999995057,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
10000,BB84 no Eve,Frequency (Monobit),0.98,0.3270861186553847,True,0.01,0.00028559999999799857,"{'n': 10000, 'ones': 4951, 'zeros': 5049}",
10000,BB84 no Eve,Block Frequency,92.25,0.12910059364148796,True,0.01,0.0002995999999981791,"{'block_size': 128, 'n_blocks': 78}",
10000,BB84 no Eve,Runs,5032.0,0.5159077360329536,True,0.01,0.00027929999999898314,"{'n': 10000, 'pi': 0.4951}",
10000,BB84 no Eve,Longest Run of Ones,2.1532033415881267,0.827566013382872,True,0.01,0.004328199999999782,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [11.0, 19.0, 18.0, 12.0, 11.0, 7.0]}",
10000,BB84 no Eve,Binary Matrix Rank,1.964912280701754,0.37439041324675665,True,0.01,0.012487700000001212,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [2.0, 7.0, 0.0]}",
10000,BB84 no Eve,Non-overlap Template,9.32421875,0.40790016598673534,True,0.01,0.04521909999999707,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,BB84 no Eve,Maurer Universal,5.251010677522193,0.2895750875624793,True,0.01,0.004557200000000705,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
10000,BB84 Eve 35%,Frequency (Monobit),0.52,0.6030635750939324,True,0.01,0.0005419000000017604,"{'n': 10000, 'ones': 4974, 'zeros': 5026}",
10000,BB84 Eve 35%,Block Frequency,75.59375,0.556114385252636,True,0.01,0.0005300000000012517,"{'block_size': 128, 'n_blocks': 78}",
10000,BB84 Eve 35%,Runs,5024.0,0.6292966534924349,True,0.01,0.0003028000000000475,"{'n': 10000, 'pi': 0.4974}",
10000,BB84 Eve 35%,Longest Run of Ones,7.379731798489114,0.19389589162506354,True,0.01,0.004239200000000665,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [12.0, 16.0, 26.0, 11.0, 3.0, 10.0]}",
10000,BB84 Eve 35%,Binary Matrix Rank,3.6789357572942762,0.15890195873937343,True,0.01,0.01246319999999912,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [3.0, 3.0, 3.0]}",
10000,BB84 Eve 35%,Non-overlap Template,2.7825520833333335,0.9722957208637774,True,0.01,0.041913600000000883,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,BB84 Eve 35%,Maurer Universal,5.251165096980646,0.2873447905386717,True,0.01,0.00296379999999985,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
10000,BB92 ideal,Frequency (Monobit),0.26,0.794863773596479,True,0.01,0.0004254000000010194,"{'n': 10000, 'ones': 5013, 'zeros': 4987}",
10000,BB92 ideal,Block Frequency,85.0,0.27507659666796946,True,0.01,0.00035949999999829174,"{'block_size': 128, 'n_blocks': 78}",
10000,BB92 ideal,Runs,5006.0,0.9039470231003046,True,0.01,0.0003150999999981252,"{'n': 10000, 'pi': 0.5013}",
